source,target
Dr. Israel,Professor Shehab
Marc Ribot,Qaballah Steppers
Professor Shehab,Robert Musso
Robert Shaw Chorale,Robert Shaw Orchestra
Robert Shaw,Robert Shaw Chorale
Robert Shaw,Robert Shaw Orchestra
Analog Brothers,DJ Cisco
Analog Brothers,H‐Bomb
DJ Cisco,H‐Bomb
Gil Evans,Miles Davis
Artful Dodger,Robbie Craig
Artful Dodger,Craig David
Craig David,Robbie Craig
Hans Swarowsky,Münchner Symphoniker
Julie McKnight,Kings of Tomorrow
50 Cent,Nas
50 Cent,Nature
Nas,Nature
Black Eyed Peas,Terry Dexter
Ja Rule,Tank
Buglamp,Keith Morris
Ant Banks,Spice 1
Goldfinger,Good Charlotte
Goldfinger,Mest
Good Charlotte,Mest
98°,Mariah Carey
Ignorants,Mis-Teeq
JP Esq,Mis-Teeq
Ignorants,JP Esq
Funkmaster Flex,M.O.P.
M.O.P.,Teflon
Lord Have Mercy,M.O.P.
Patra,Yo‐Yo
Rayvon,Shaggy
Crystal Waters,Shabba Ranks
Afrika Bambaataa,Shango
Chevelle,Shabba Ranks
João Gilberto,Stan Getz
Helen Humes,The Count Basie Orchestra
Al Gromer Khan,Kai Taschner
Method Man,Redman
DMX,Method Man
Master P,Method Man
Eminem,Method Man
Method Man,RZA
KRS‐One,Method Man
DMX,Redman
Master P,Redman
Eminem,Redman
RZA,Redman
KRS‐One,Redman
DMX,Master P
DMX,Eminem
DMX,RZA
DMX,KRS‐One
Eminem,Master P
Master P,RZA
KRS‐One,Master P
Eminem,RZA
Eminem,KRS‐One
KRS‐One,RZA
Coyote Shivers,Rene Zellweger
KRS‐One,Mad Lion
KRS‐One,Shaggy
Mad Lion,Shaggy
Jim Jacobs,Warren Casey
DMX,Eve
DMX,Snoop Dogg
DMX,Jadakiss
Eminem,Eve
Eminem,Snoop Dogg
Eminem,Jadakiss
Eve,Snoop Dogg
Eve,Jadakiss
Jadakiss,Snoop Dogg
Bono,Sting
Kris Kristofferson,Lyle Lovett
Lyle Lovett,Willie Nelson
Kris Kristofferson,Willie Nelson
David Pomeranz,Sharon Cuneta
Bruce Hornsby,Béla Fleck
Bonnie Raitt,Bruce Hornsby
Pharrell Williams,Snoop Dogg
Dani Stevenson,Nelly
Dr. Dre,Snoop Dogg
Amerie,LL Cool J
Barnes & Barnes,Dr. Demento
Chris Isaak,Metallica
Kym Mazelle,Robert Howard
FFmusic Dj,Rydia of Mist
Dave Matthews Band,Phish
Paul Simon,Willie Nelson
Billy Bragg,Wilco
AB4,Verdikt
Golden Smog,Rosanne Cash
Ani DiFranco,Greg Brown
2Pac,The Notorious B.I.G.
Big L,The Notorious B.I.G.
Big L,Gang Starr
Gang Starr,The Notorious B.I.G.
The LOX,The Notorious B.I.G.
Buddy Guy,Stevie Ray Vaughan
Hezekiah Walker,The Love Fellowship Choir
Craig Wedren,Tweaker
DJ Albert,Precision
Tiga,Zyntherius
Breeezze,Peran
Redman,Saukrates
AM Radio,Rivers Cuomo
Chris Cornell,Lovemongers
Da Bush Babees,Yasiin Bey
D12,Eminem
Derek Duke,Tracy W. Bush
Jason Hayes,Tracy W. Bush
Glenn Stafford,Tracy W. Bush
Derek Duke,Jason Hayes
Derek Duke,Glenn Stafford
Glenn Stafford,Jason Hayes
100 Portraits,Waterdeep
Derek Bailey,Ingar Zach
BLT,Cosma
20 Fingers,Roula
Adriano Celentano,Ligabue
20 Fingers,Cassandra
2Pac,Scarface
Coldplay,Elton John
ABK,Insane Clown Posse
Beck,Thom Yorke
Lauryn Hill,Ziggy Marley
Eric Benét,Terry Dexter
Elton John,Guns N’ Roses
Oren Ambarchi,Tim Hecker
Joe Satriani,Steve Vai
Busta Rhymes,Timbaland & Magoo
Jason Mraz,Jewel
Chenoa,David Bisbal
Alpha Omega,Daniel Boyacioglu
Al Di Meola,Paco de Lucía
John McLaughlin,Paco de Lucía
Al Di Meola,John McLaughlin
Ghostface Killah,Scarface
N.O.R.E.,Peedi Crakk
DJ Zinc,MC GQ
Jadakiss,Mashonda
Nas,Wu‐Tang Clan
Argyle Park,Mark Salomon
Big Pun,Royal Flush
N.O.R.E.,Royal Flush
Big Pun,N.O.R.E.
Anne Laplantine,Momus
Guy Gross,SubVision
Bhangra Knights,Husan
Aura,Dynamo
Disturbed,Vinnie Paul
Chester Bennington,Disturbed
Chester Bennington,Vinnie Paul
Anel,M.A.
Pitbull,Trick Daddy
Dweezil Zappa,John Tesh
Ahmet Zappa,John Tesh
Ahmet Zappa,Dweezil Zappa
Oobie,Pitbull
Carmen Consoli,Franco Battiato
Del the Funky Homosapien,Pitbull
Beck,Beth Orton
X: Gate,cd-r0m
Aquagen,Warp Brothers
Stompin’ Tom Connors,k.d. lang
Erich Kunzel,Rochester Philharmonic Orchestra
Caetano Veloso,David Byrne
Alan Reid,John McCusker
Kylie Minogue,Olivia Newton‐John
Black Legend,Chaka Khan
KMFDM,Peter Murphy
Groovefinder,Lou Reed
No Doubt,Sublime
Jessica Simpson,Jewel
Twista,Ye
GLC,Ye
GLC,Twista
Mark Spitz,Ye
久馬浩一,山本健誌
Jill Scott,Moby
Blue Man Group,Moby
Blue Man Group,Jill Scott
Lil’ Kim,RuPaul
Danielle Licari,Saint-Preux
Accademia Ziliniana,Eduard Fischer
David Bowie,Queen
ABK,Blaze Ya Dead Homie
Big Gipp,E‐40
Big Boi,E‐40
Big Boi,Big Gipp
Sammy Cahn,Sammy Fain
Gunsmoke,Shy FX
Shy FX,Stepz MC
Steven Tyler,Stone Temple Pilots
Joe Perry,Stone Temple Pilots
Joe Perry,Steven Tyler
Cory Arcangel,Spencer Beglarian
Mary Rodríguez,Spencer Beglarian
Cory Arcangel,Mary Rodríguez
Kitsu Killjoy,Sundae Club
Barry Gray,Gary Miller
Ben Sage,Savvy
Michael Stipe,Natalie Merchant
Natalie Merchant,Tracy Chapman
Ce’Cile,Sean Paul
Andy Irvine,Paul Brady
Ebola,Frenemy
Dido,Eminem
Alien Project,Astrix
Bomfunk MC’s,Max’C
Alicia Keys,Funkmaster Flex
Alicia Keys,Black Thought
Abstract Rude,Moka Only
Encore,Pep Love
Alpha One,Bumbi
Hanna Kappelin,o2
Morpheus,o2
Hanna Kappelin,Morpheus
Protricity,Star Salzman
Almadrava,Quimi Portet
Jessica Eve,Who da Funk
Heideroosjes,Urbanus
Fabolous,Sean Paul
Jamie Cullum,Katie Melua
Enrique Iglesias,Алсу
Ice Cube,Ice‐T
Abstract Rude,Grayskul
Nattyflo,Nosliw
Elton John,Miss Piggy
Parallel or 90 Degrees,Roine Stolt
János Sándor,Nemzeti Filharmonikus zenekar
Frank Churchill,Oliver Wallace
Camille,Frenck Gelibert
Camille,Gilles Coronado
Natalie Merchant,Peter Gabriel
Michael Stipe,Peter Gabriel
B.B. King,Fun Lovin’ Criminals
Boz,Sonic Wanderer
Celeda,Danny Tenaglia
MC Paul Barman,Nozart, The Nati Kid
Bobby V.,Ludacris
Angelo Kortez,Sweet Pussy Pauline
Dean & Britta,Sonic Boom
Fiorello,Laura Pausini
Big Moe,Mike Jones
Ashford & Simpson,Teddy Pendergrass
Prince,The New Power Generation
Kylie Minogue,The Living End
Amber Benson,Christian Kane
David Lindley,Ry Cooder
Boris,Maud
Datassette,Todd Rundgren
Colouring Lesson,Mary Prankster
Bing Crosby,Bob Hope
Bing Crosby,Judy Garland
Bob Hope,Judy Garland
Moby,Public Enemy
Lil Jon,TLC
Sean P,TLC
Lil Jon,Sean P
Beyoncé,JAY‐Z
John Williams,London Symphony Orchestra
Kelis,Ol’ Dirty Bastard
Lil Jon,Usher
Ludacris,Usher
Lil Jon,Ludacris
Eva-Maria Hagen,Nina Hagen
Baba Saad,Sonny Black
Mazedude,Reduz
Greg Potter,Mazedude
Erik Owen,Mazedude
Eins Zwo,Nico Suave
Dave Hickman,Mazedude
Mazedude,anosa
JAY‐Z,Linkin Park
Benny Benassi,The Biz
Joe Cam,Mazedude
Delerium,Sarah McLachlan
Lil Jon,Pitbull
Prince,The Revolution
Rob da Bank,The Cuban Brothers
Beef,Brainpower
Ben Dangerfield,Mick McGarr
Ben Dangerfield,James Widdop
James Widdop,Mick McGarr
Blur,Homer Simpson
Chaka Khan,Meshell Ndegeocello
Ceza,Sagopa Kajmer
Damian Luca,Francis Goya
Donkey Diesel,Internationals
DAAU,Donkey Diesel
